comedians,bios
nick guerra,"[['exciting', 'high', 'hilarious', 'stand-up', 'late', 'first', 'available', 'Last', 'Comedy', 'fellow'], [], ['Most'], ['Nick', 'Guerra', 'Nick', 'Tonight', 'Show', 'Jimmy', 'Fallon', 'Nick', 'Love', 'Nick', '’', 'Tape', 'NBC', '’', 'Comic', 'Standing', 'NBC', 'Stand', 'Up', 'Showcase', 'Central', 'Gabriel', 'Iglesias', '’', 'Stand', 'Up', 'Revolution', 'Nick', 'Cristela', 'Alonzo', 'Michael', 'Yo', 'Jo', 'Koy'], [], ['quickly', 'recently', 'also', 'regularly'], [], ['most']]"
nick kroll,"[['‘', 'acclaimed', 'opposite', 'opposite', 'Other', 'feature', 'Little', 'best-selling'], [], [], ['Nick', 'Ruxin', 'FX', 'League', 'Adult', 'Swim', '’', 'Children', 'Hospital', 'NBC', '’', 'S', 'Parks', 'Recreation', 'Nick', 'Get', 'Him', 'Greek', 'Russell', 'Brand', 'Jonah', 'Hill', 'Dinner', 'Schmucks', 'Paul', 'Rudd', 'Date', 'Night', 'Steve', 'Carell', 'Tina', 'Fey', 'Man', 'A', 'Good', 'Old', 'Fashioned', 'Orgy', 'Nick', '’', 'Chappelle', 'Show', 'Life', 'Times', 'Tim', 'Human', 'Giant', 'Bar', 'Mitzvah', 'Disco', 'Variety', '’', 'Comedy', 'Central', 'Hot', 'List', ""'09""], ['Fockers', 'Comics'], ['critically', 'also', 'also', 'opposite'], [], []]"
nick swardson,"[['steady', 'Happy', 'co-writing', 'such', 'co-producing', 'such', 's', 'first', 'first', 'one-hour', 'stand-up', 'special', 'stand-up', 'prolific', 'Comedy', 'Comedy', 'co-starred', 'animated', 'most-watched', 'Ridiculous', 'second'], [], ['Most', 'Most'], ['Swardson', 'Malibu', 'Warner', 'Comedy', 'Central', 'RENO', 'Madison', 'Grandma', 'Boy', 'Benchwarmers', 'Pronounce', 'Chuck', 'Larry', 'Adam', 'Sandler', 'Kevin', 'James', 'Nick', 'My', 'Boy', 'Blades', 'Glory', 'Less', 'Bucky', 'Larson', 'Star', 'CD/DVD', 'Party', 'Comedy', 'Central', 'Records', 'Happy', 'Madison', 'Comedy', 'Central', 'Seriously', 'Nick', 'Central', 'Pretend', 'Time', 'Nick', 'Swardson', '‘', 'Troy', '’', 'FXX', '’', 'Chozen', 'Nick', '‘', 'Gary', '’', 'Typical', 'Rick', 'Comedy', 'Central', 'Central', 'Special', 'Taste', 'April', 'Comedy', 'Central', 'Nick', 'Hell', 'Back', 'TJ', 'Miller', 'Bob', 'Odenkirk', 'Mila', 'Kunis', 'Nick', 'Netflix', 'Adam', 'Sandler', 'Will', 'Forte', 'Sandler', '’', 'Netflix', 'Do-Over', 'Adam', 'Sandler', 'David', 'Spade'], ['Brothers', 'Productions', 'Minutes'], ['first', 'quickly', 'Now', 'recently', 'also', 'recently'], ['More'], []]"
nick thune,"[['comedian', 'early', 's', 'unique', 'mixed', 'crowds', 's', 'such', 'Happy', 'special', 'Good', 'previous', 'special', 'own', 'special'], [], [], ['Nick', 'Thune', 'Great', 'Northwest', 'Seattle', 'Nick', '’', 'Nick', 'Tonight', 'Show', 'Conan', 'Late', 'Night', 'Nick', 'NBC', '’', 'Old', 'Soul', 'Traffic', 'Light', 'Endings', 'Don', '’', 'Trust', 'B', 'Apartment', 'Nick', 'Guy', 'SeeSo', 'Folk', 'Hero', 'Netflix', 'Nick', 'Comedy', 'Central', 'Presents', 'Thick', 'Noon', 'Comedy', 'Central', 'Records'], [], ['recently', 'currently', 'also'], [], ['Most']]"
Nick Vatterott,"[['break-outs', 'half', 'special', 'stand-up', 's', 'album', 'dynamic', 'own', 'correspondent'], [], ['best', 'best'], ['“', 'Montreal', '’', 'Just', 'Laughs', 'Comedy', 'Festival', 'Hollywood', 'Reporter', 'Nick', 'Vatterott', '’', 'Nick', 'Conan', 'Late', 'Night', 'Jimmy', 'Fallon', 'Comedy', 'Central', 'Nick', 'Comedy', 'Central', '’', 'Mash-Up', 'Manimation', 'Fox', 'ADHD', 'T.J.', 'Miller', 'Nick', '’', 'Amusement', 'Only', 'November', 'Comedy', 'Central', 'Vulture', 'Laughspin', 'Splitsider', 'Vatterott', '’', 'Vulture.com', '“', 'Top', 'Nick', '’', 'Laugh', 'Button', 'Nick', 'Vatterott', 'Show', 'Nick', 'Nick', 'Big', 'Ten', 'Network', 'Gorburger', 'Show', 'Comedy', 'Central', 'T.J.', 'Miller'], ['Records', 'Comedians'], ['’', 'also', ""n't"", 'also', 'currently'], [], ['most']]"
nicole byer,"[['comedian', 'only', 'female', '*VIP', 'post-show'], [], [], ['Nicole', 'Netflix', 'Facebook', 'Watch', 'Nicole', 'Me', 'Fox', 'Party', 'Over', 'MTV', 'Girl', 'Code', 'Rock', 'Late', 'Night', 'Jimmy', 'Fallon', 'Mike', 'Dave', 'Need', 'Wedding', 'Dates', '@', 'Midnight', 'Adult', 'Swim', 'Chelsea', 'Lately', 'Transparent', 'Lady', 'Dynamite', 'Nestle', 'Israel', 'Nicole', 'Pursuit', 'Sexiness', 'Variety', 'Web', 'Series', 'Watch', 'Time', 'Out', 'LA', 'Comic', 'Refinery', 'Nicole', 'Cosmopolitan', 'Ladies', 'Home', 'Journal', 'Elle', 'Ebony', 'TICKETS', 'AVAILABLE', 'VIP'], [], ['currently', 'loosely', 'Loosely', 'Exactly', 'also', ""n't"", 'recently', 'Here', 'also', 'also'], [], []]"
nikki glaser,"[['sought', 'young', 'executive', 'personal', 'other', 'first', 'multiple', 'social', 'original', 'late-night', 'popular', 'memorable', 'multiple', 'stand-up', 'first', 'one-hour', 'special', 'special'], [], ['funniest', 'Most'], ['Nikki', 'Glaser', 'Comedy', 'Central', 'Safe', 'Nikki', 'Glaser', '’', 'February', 'Comedy', 'Central', '’', 'Snapchat', '“', 'Quickie', 'Nikki', '”', 'Nikki', 'MTV', 'Nikki', 'Sara', 'LIVE', 'Comedy', 'Central', '’', '@', 'Chris', 'Hardwick', 'Inside', 'Amy', 'Schumer', 'Roast', 'Rob', 'Lowe', 'Tonight', 'Show', 'Starring', 'Jimmy', 'Fallon', 'Nikki', 'Perfect', 'Comedy', 'Central', 'April', 'Half', 'Hour', 'Netflix', 'Netflix', 'Standups'], [], ['Not', 'also', 'Previously', 'also', 'recently'], [], ['most']]"
nimesh patel,"[['first', 'Indian', 'first', 'Indian', 'such', '“', 'regular', 'stand-up'], [], [], ['Nimesh', 'Patel', 'Saturday', 'Night', 'Live', 'American', 'SNL', 'Nimesh', 'White', 'House', 'Correspondents', 'Dinner', 'Hasan', 'Minhaj', 'Broad', 'City', 'TruTV', 'Comedy', 'Knockout', 'Nimesh', 'Chris', 'Rock', 'Annual', 'Academy', 'Awards', 'American', 'Oscars', 'Chris', 'Rock', 'Maz', 'Jobrani', 'Michael', 'Che', 'Nimesh', 'Comedy', 'Central', '’', 'MTV2', 'Vidiots', 'New', 'York', 'City', 'Please'], ['Comics'], ['recently', 'notably', 'again', 'notably', 'also'], [], []]"
noah gardenswartz,"[['wide', 'unique', 'comedian', '’', 'well-crafted', 'personal', 'up-and-comer', 'own', 'special', 'semi-finalist', 'Last', 'stand-up', 'full', 'elementary', 'sure'], [], ['Most'], ['Noah', 'Gardenswartz', 'Noah', 'Denver', 'Atlanta', 'Gardenswartz', 'New', 'York', 'City', 'Noah', 'Comedy', 'Central', 'Blunt', 'Comedy', 'Central', 'Conan', 'Adam', 'Devine', '’', 's', 'House', 'Party', 'Comedy', 'Central', 'NBC', '’', 'Comic', 'Standing', 'Noah', '’', 'Comedy', 'Knockout', 'Gardenswartz', 'Noah', 'Comedy', 'Works'], ['Records'], ['nationally', 'recently', 'regularly', 'even', 'though', 'obviously', 'not', 'once'], [], []]"
norm macdonald,"[['favorite', 'late', 'final', 'many', 'classic', 'many', 'Last', 'Comic', 'avant-garde', 'tour-de', 'instant', 'five-', 'full', 'one-minute', 'recent', 'voiceover', 'original', 'own', 'pure', 'special', 'stand-up', 'Comedy', '“', 'identical', '’', 's'], [], ['best', 'best', 'funniest', 'guest', 'best'], ['Norm', 'Macdonald', 'Saturday', 'Night', 'Live', 'Chevy', 'Chase', 'Late', 'Show', 'David', 'Letterman', 'Mr.', 'Letterman', 'Norm', 'Dirty', 'Work', 'Adam', 'Sandler', 'Billy', 'Madison', 'Norm', 'Standing', 'Colonel', 'Sanders', 'KFC', 'Bob', 'Saget', 'Moth', 'Joke', 'Conan', 'Activision', 'Blizzard', '’', 'Skylanders', 'Academy', 'Adult', 'Swim', '’', 'Mike', 'Tyson', 'Mysteries', 'Netflix', '’', 'Girlboss', 'Norm', 'Netflix', 'Norm', 'Macdonald', 'Hitler', '’', 'Dog', 'Gossip', 'Trickery', 'Norm', 'Me', 'Doing', 'Stand-up', 'Guardian', 'Central', 'Top', 'All', 'Time.', '”', 'Norm', 'Norm', 'Macdonald', 'Norm'], ['Comedians'], ['ever', 'ever', 'also', 'as', 'well', 'also', 'just', 'still', 'ever', 'not', 'not'], [], ['most']]"
nurse nancy,"[['fourth', 'stand-up', 'funny', 'universal', 'intuitive', 'high', 'hilarious', 'various', 'one-woman', 'Yellowish-Green', 'local', 'first', 'laugh'], [], ['most'], ['Nurses', 'Week', 'Comedy', 'Works', 'WINNER', 'THE', 'BOSTON', 'COMEDY', 'FEST', 'Nancy', 'Norton', 'Nancy', 'Norton', 'USO', 'Nancy', 'Nancy', 'Norton', 'Registered', 'Nurse', 'Improv', 'A', 'E', 'Girl', 'PBS', 'Nickmom', 'Night', 'Out', 'Nickelodeon', 'Nancy', 'Boston', 'Comedy', 'Fest', 'September', 'Denver', 'Post'], [], ['nationally', 'internationally', 'uniquely', 'fast', 'also', 'really', 'recently', 'just', 'ever', ""n't""], [], []]"
orny adams,"[['powerful', 'incisive', 'stand-up', 'relevant', 'wrong', 's', 'wrong', 'honest', 'satirical', 'energetic', 'one-hour', 'stand-up', 'third', 'special'], ['More'], [], ['Orny', 'Adams', '’', 'Adams', 'Orny', 'Netflix', 'Comedy', 'Central', 'Than', 'Loud', 'Showtime', 'Adams', 'Tonight', 'Show', 'Late', 'Night', 'David', 'Letterman', 'Conan', 'O', '’', 'Brien', 'Show', '‘', 'Coach', 'Bobby', 'Finstock', 'Teen', 'Wolf'], [], ['sometimes', 'even', 'brutally', 'ceaselessly', 'currently', 'now', 'notably', 'also'], [], ['most']]"
owen benjamin,"[['’', 'one-hour', 'special', 'High', 'special'], [], [], ['Owen', 'Benjamin', 'TBS', 'Sullivan', 'Son', 'Nick', 'Swardson', 'Pretend', 'Time', 'Tonight', 'Show', 'Comedy', 'Central', 'Presents', 'Late', 'NIght', 'Jimmy', 'Fallon', 'Punk', 'Live', 'Gotham', 'Marvin', 'House', 'Bunny', 'Jack', 'Jill', 'Bucky', 'Larson', 'All', 'Faire', 'Love', 'Owen', 'Comedy', 'Central', 'Hot', 'List', 'US', 'Vince', 'Vaughn', 'Owen', 'Comedy', 'Central', 'Summer', 'Owen', 'Benjamin'], [], ['currently', ""n't""], [], []]"
pat mcgann,"[['stand-up', 'second', 'Great', 'American', '’', 's'], [], [], ['Pat', 'McGann', 'Chicago', 'Late', 'Show', 'David', 'Letterman', 'Pat', 'Emmy', 'Chicago', 'Stand', 'Up', 'Project', 'McGann', 'Comedy', 'Festival', 'Laugh', 'Fest', 'Lucille', 'Ball', 'Comedy', 'Festival', 'Pat', 'Bob', 'Tom', 'Show', 'AXS-TV', '’', 'Gotham', 'Comedy', 'Live', 'Sounds', 'Good', 'Sirius/XM', 'Join', 'Pat', 'Sunday', 'Mother', 'Day', 'FAMILY'], [], ['also', 'nationally', 'as', 'well'], [], []]"
patton oswalt at,"[['Comedian', 'absurdist', 'surprising', 'thriving', 'nerdy', 'long-running', 'alongside', 'great'], [], [], ['Patton', 'Oswalt', 'Cast', 'Spence', 'Olchin', 'CBS', 'King', 'Queens', 'Oswalt', 'Kevin', 'James', 'Jerry', 'Stiller', 'Magnolia', 'Man', 'Moon', 'Zoolander'], [], ['defiantly'], [], []]"
paul reiser,"[['musician', 'last', 'award-winning', 'voted', 'Top', 'exciting', 'NY-bred', 'LA-based', 'anticipated', 'critically-acclaimed', 's', 'third', 'final', 'seven-episode', 'joint', 'authentic', 'coming-of-age', 'wide-eyed', '19-year-old', 'iconic', 'recent', 'notable', 'such', 'multiple', 'bestseller', 'second', 'humorous', 'first-time', 'third'], [], [], ['Colorado', 'Springs', 'Fine', 'Arts', 'Center', 'Colorado', 'College', 'Colorado', 'Springs', 'Friday', 'August', 'June', 'Swaner', 'Gates', 'Concert', 'Hall', 'Denver', 'Saturday', 'August', 'Newman', 'Center', 'Performing', 'Comedy', 'Works', 'Entertainment', 'Comedian', 'Paul', 'Reiser', 'Oscar', 'Emmy', 'Comedy', 'Central', 'Time', 'Reiser', 'Reiser', 'Netflix', 'Stranger', 'Things', 'Reiser', 'David', 'Gordon', 'Green', 'Pineapple', 'Express', 'Prince', 'Avalanche', 'Steven', 'Sorderbergh', 'Amazon', 'Red', 'Oaks', '’', 'Reiser', '’', 'Johnny', 'Reiser', 'Green', 'Reiser', 'David', 'Steven', 'Simon', 'Tonight', 'Show', 'Starring', 'Johnny', 'Carson', 'Andy', 'Nebraskan', 'Reiser', '’', 'John', 'McDonagh', 'War', 'Everyone', 'Book', 'Love', 'Little', 'Hours', 'Sundance', 'Film', 'Festival', 'Lake', 'Bell-directed', 'Do…', 'Don', 'Reiser', 'Diner', 'Bye', 'Bye', 'Love', 'Marrying', 'Man', 'Aliens', 'Night', 'McCool', 'Beverly', 'Hills', 'Cop', 'II', 'NBC', 'Mad', 'Emmy', 'Golden', 'Globe', 'American', 'Comedy', 'Award', 'Screen', 'Actors', 'Guild', 'Reiser', 'Golden', 'Globe-winning', 'Academy', 'Award-winning', 'Whiplash', 'Reiser', '’', 'Couplehood', 'New', 'York', 'Times', 'Reiser', '’', 'Babyhood', 'Familyhood'], ['Arts', 'Comedians'], ['even', 'highly', 'Additionally', 'officially', 'also', 'recently'], ['More'], []]"
paula poundstone,"[['s', 'unscripted', 'perfect', 'regular', 'screwball', 'weekly', '’', 'that.', 'standup', 'great', 'comic', 'fine', 'immediate', 'quick', 'wrong'], [], [], ['Comedy', 'Works', 'Entertainment', 'Presents', 'Paula', 'Poundstone', 'Paula', 'Poundstone', '’', 'NPR', '’', 'WAIT', 'WAIT…DON', '’', 'T', 'TELL', 'ME', '”', '“', 'NPR', '”', 'Paula', 'Nick', 'Zaino', 'Boston', 'Globe', '’', 'Paula', '’', '’'], [], ['magnanimously', 'regularly', 'so', 'never', 'never'], [], []]"
pauly shore,"[['major', 'numerous', 'one-hour', 'own', '20th', 'available', 'six-part', 'original', 'documentary', 'hard', 'historical', 'viral', 'original', 'short'], [], [], ['Pauly', 'Shore', 'MTV', 'Totally', 'Pauly', 'HBO', 'Pauly', 'Does', 'Dallas', 'Encino', 'Man', 'Son', 'Law', 'Jury', 'Duty', 'Army', 'Bio', 'Dome', 'Pauly', 'Pauly', 'Shore', 'Dead', 'Century', 'Fox', 'Vegas', 'My', 'Oyster', 'Crackle', 'Pauly', 'Pauly', 'Shore', 'Stands', 'Alone', 'Additionally', 'Pauly', 'Pauly', 'Shore', 'Podcast', 'Show', 'Crackle', 'Judd', 'Apatow', 'Irving', 'Azoff', 'Eagles', 'Ziggy', 'Marley', 'Pauly', 'Comedy', 'Store', 'West', 'Hollywood', 'Stephen', 'Miller', 'Funny', 'Die', 'Funny', 'Die', 'Bobby', 'Lee', 'Jay', 'Mohr', 'Richard', 'Schiff', 'Pauly', 'Shore', 'Mr.', 'Wiezel', 'Goes', 'Washington', 'Funny', 'Die'], [], ['Now', 'then', 'as', 'well', 'currently', 'recently', 'recently', 'also', 'just'], [], []]"
pete davidson,"[['comedian', 'third', 'current', 'first', '“', 'featured', 'past'], [], ['youngest'], ['COMEDY', 'WORKS', 'YEAR', 'CELEBRATION', 'EVENT', 'Stand-up', 'Pete', 'Davidson', 'Saturday', 'Night', 'Live', 'Pete', 'SNL', '’', 'Davidson', 'Variety', 'Top', 'Comedy', 'Central', 'Roast', 'Justin', 'Bieber', 'Davidson', '’', 'MTV', '’', 'Guy', 'Code', 'Wild', '‘', 'Out', 'Trainwreck'], ['Comics'], ['as', 'well'], [], []]"
pete holmes,"[['comedian', 'popular', 'comedic', 'semi-autobiographical', 'alongside', 'accomplished', 'hour-long', 'innumerous', 'late-night', 'sold-out'], [], [], ['Pete', 'Holmes', 'Weird', 'Deepak', 'Chopra', 'Elizabeth', 'Gilbert', 'Seth', 'Rogan', 'Garry', 'Shandling', 'Pete', 'HBO', 'Crashing', 'Judd', 'Apatow'], [], ['wildly', 'also', 'regularly'], [], []]"
pete lee,"[['first', 'stand-up', 'joyful', 'Last', 'semi-finalist', 'own', 'own', 'own', 'cast', 'late-night', 'cast', 'own', 'regular', 'available', '’', 't', 'other'], [], [], ['Pete', 'Lee', 'Tonight', 'Show', 'Starring', 'Jimmy', 'Fallon', 'Pete', '’', 'Midwestern', 'Comedy', 'Central', '’', 'Premium', 'Blend', 'Pete', 'Just', 'Laughs', 'Comedy', 'Festival', 'Montreal', 'Pete', 'NBC', '’', 'Comic', 'Comedy', 'Central', 'Half', 'Hour', 'Special', 'CBS', 'World', 'Turns', 'Pete', 'Internet', 'MSN.com', 'New', 'York', 'Minute:30', 'FUSE', '’', 'Video', 'Trial', 'NFL', 'Network', '’', 'Top', '’', 'Pete', 'VH1', '’', 'Best', 'Week', 'CBS', '’', 'Late', 'Show', 'David', 'Letterman', 'Currently', 'Pete', 'TruTV', '’', 'Greatest', 'Nickelodeon', '’', 'Nick', 'Toons', 'NFL', 'NFL', 'Rush', 'TruTV', '’', 'Comedy', 'Knockout', 'Comedy', 'Central', '’', 'Roast', 'Battle', 'Pete', 'Amazon', 'Pete', 'Lee'], [], ['also', 'Ever', 'Ever', 'also', 'now', 'yet'], [], []]"
phil hanley,"[['stand-up', 'open', 'regular', 'Late', 'stand-up', 'special', 'lead'], [], ['Most'], ['Phil', 'Hanley', 'Vancouver', 'United', 'Phil', 'NYC', '’', 'Comedy', 'Cellar', 'Phil', 'Night', 'Seth', 'Meyers', '@', 'Aziz', 'Ansari', 'Pete', 'Holmes', 'Show', 'John', 'Oliver', 'New', 'York', 'Stand-up', 'Show', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Phil', 'Comedy', 'Central', 'Half', 'Hour', 'Phil', 'Sundowners', 'Tim', 'Heidecker', 'Amy', 'Schumer'], ['States'], ['often', 'recently', 'also', 'twice', 'Pretty'], [], []]"
phil palisoul,"[['such', 'flung', 's', 'Last', 'first', 'Great', 'American', 'comfortable', 'funky', 'small', 'big', 'successful', 'major'], [], ['biggest'], ['Phil', 'Palisoul', 'Hong', 'Kong', 'China', 'Juneau', 'Alaska', 'Billings', 'Montana', 'Afghanistan', 'Duty', 'Jerry', 'Seinfeld', 'Drew', 'Carey', 'George', 'Lopez', 'Phil', 'Tonight', 'Show', 'Jay', 'Leno', 'Comic', 'Standing', 'Comedy', 'Central', '’', 'Premium', 'Blend', 'Phil', 'Comedy', 'Festival', 'Johnny', 'Carson', '’', 'Norfolk', 'Nebraska', 'Having', 'Phil', '–', 'Phil', 'LA', 'Comedy', 'Central', 'Catch', 'Vinnie', 'Montez', 'Sunday', 'August'], [], ['s', 'far', 'recently', 'well', 'as', 'well'], [], []]"
phoebe robinson,"[['multi-talented', 'stand-up', 'best-selling', 'hour-long', 'second', 'critically-acclaimed', 'such', 'many', 'Other', 'pop', 'second', 's', 'last', 's'], ['more'], ['biggest', 'best'], ['Phoebe', 'Robinson', 'New', 'York', 'Times', 'TV', 'Dope', 'Queens', 'HBO', 'February', 'WNYC', 'Studios', 'Sooo', 'Many', 'White', 'Guys', 'Phoebe', 'Tom', 'Hanks', 'Issa', 'Rae', 'Abbi', 'Jacobson', 'Phoebe', 'New', 'York', 'Times', 'Touch', 'My', 'Hair', 'Explain', 'Everything', '’', 'Trash', 'Okay', 'Phoebe', 'Netflix', 'Ibiza', 'Taraji', 'P.', 'Henson', 'Paramount', 'Men', 'MTV', '’', 'Girl', 'Code', 'IFC', '’', 'Portlandia', 'Broad', 'City', 'RED', 'Foundation', 'Follow', 'Phoebe', '@'], [], ['best', 'also', 't', 'Still', 'alongside', 'also', 'as', 'well'], [], []]"
piff the magic dragon,"[['s', 'Available', 'personal', 'online', 'next', 'phenomenal', 'able', 'mythical', 'new', 'never-before-seen', 'new', 'genuine', 'sure', 'special', 'costume'], [], ['latest'], ['Piff', '’', 'Private', 'Party', 'Piff', 'Piff', 'Mr.', 'Piffles', 'Piff', 'Mr.', 'Piffles', 'Las', 'Vegas', 'North', 'America', 'Howard', 'Stern', 'Soon', 'NBC', '’', 'America', 'Got', 'Talent', 'Penn', 'Teller', 'Fool', 'Us', 'Tour', 'Mr', 'Piffles', 'Piff', 'Jade', 'Simone', 'Las', 'Vegas', 'Showgirl', 'Francis', 'Squire', 'Eunuch', 'Tunic', 'New', 'York', 'Times', 'Join', 'Piff', 'All', 'Ages', 'Family', 'Shows', 'Saturday', 'Sunday', 'Halloween', 'Piff', 'All', 'Ages', 'Family', 'Shows', 'Piff', 'EXCLUSIVE', 'All', 'Ages'], ['Dog'], ['now'], [], []]"
preacher lawson,"[['past', 'Top', '’', 's', 'highest-rated', 'high-energy', 'seventeen', 'native', 'Last', 'major'], [], [], ['NBC', '’', 'America', '’', 'Got', 'Talent', 'Preacher', 'Lawson', 'Preacher', 'Preacher', 'Memphis', 'TN', 'Orlando', 'Florida', 'Funniest', 'Florida', 'Seattle', 'International', 'Comedy', 'Competition', 'NBC', 'Carson', 'Daly', 'Comedy', 'Dynamic', 'Los', 'Angeles'], [], ['also', 'currently'], [], ['Best', 'most']]"
project recycle,"[['Colorado-based', 'non-profit', 'incentive-based', 'many', 'multiple', 'incentive-based', 'lower-income', 'hard', 'obtainable', 'lower-income', 'local', 'many', 'first', 'wonderful', 'comedian', 'great'], ['more'], [], ['ReCycle', 'Dream', 'Bike', 'Dream', 'Bike', 'Title-1', 'Three', 'Attendance', 'Attitude', 'Project', 'ReCycle', 'Dream', 'Bike', 'May', 'Dream', 'Bike', 'Night', 'Laughter', 'Come', 'Chris', 'Voth'], [], ['also', 'directly', 'nearly', 'just', 'helps', 'ever'], [], []]"
quincy jones,"[['comedian', 'terminal', 'stand-up', 'ongoing', 'one-hour', 'stand-up', 'debut', 'one-hour', 'special', 'hard', 'everyday', 'witty', 'off-the-cuff', 'many'], ['more'], [], ['Quincy', 'Jones', 'Prior', 'July', 'Jones', '’', 'Jones', 'Ellen', 'DeGeneres', 'Show', 'HBO', 'Quincy', '’', 'Quincy', 'Jones', 'Light', 'HBO', 'June', 'Quincy', 'Subway', 'Rory', 'Scovel', 'Ian', 'Edwards', 'Chris', 'Rock', 'Sarah', 'Silverman'], [], ['only', 'together', 'highly'], [], []]"
rachel bradley,"[['comedian', 'high-energy', 'social', 'edgy', 'intriguing', 'eccentric', 'pure', 'candid', 'sassy', 'funny', '5-inch', 'former', 'top-rated', 'comedic', 'Special', 'stand-out'], [], [], ['Rachel', 'Bradley', 'Southern', 'Southern', 'Diesel', 'Rachel', 'Bombshell', 'Rae', 'Titus', 'Podcast', 'Comedy', 'Central', 'Vanity', 'Fair', 'Unit'], ['Jeans'], ['authentically', 'genuinely', 'never', 'as', 'well', 'also'], [], []]"
rachel feinstein,"[['comedian', 'known', 'various', 'only', 've', 'next', 'third', 'Recent', 'Last', 'multiple', 'several', 'co-hosting', 'top', 'Last', 's', 'successful', 'major', 'new'], [], ['Most'], ['Rachel', 'Feinstein', 'Huffington', 'Post', '”', 'Feinstein', 'Comedy', 'Central', 'Comedy', 'Central', '’', 'Nightly', 'Show', 'Larry', 'Wilmore', 'HBO', '’', 'Week', 'Tonight', 'John', 'Oliver', 'View', 'Inside', 'Amy', 'Schumer', 'Rachel', 'Shaq', 'Upload', 'Shaquille', 'O', '’', 'Neal', 'NBC', '’', 'Comic', 'Standing', 'Feinstein', 'Adult', 'Swim', '’', 'Venture', 'Grand', 'Theft', 'Auto', 'Trainwreck', 'Chris', 'Rock', '’', 'Top', 'Five', 'Rachel', 'Steven', 'Soderbergh', 'Amazon', 'Red', 'Oaks', 'Judd', 'Apatow', '’', 'HBO', 'Crashing'], ['Brothers'], ['nationally', 'equally', 'also', 'phenomenally', 'recently'], [], ['best']]"
rachel bloom tour,"[['musical', 'alongside', 'successful', 'crazy', 'young', 'prestigious', 'upscale', 'desperate', 'suburban', 'positive', 'myriad', '”', 'original'], [], [], ['Rachel', 'Bloom', 'Crazy', 'Ex-Girlfriend', 'Aline', 'Brosh', 'McKenna', 'Bloom', 'Rebecca', 'Bunch', '–', 'Manhattan', '–', 'West', 'Covina', 'California', 'CW', 'Network', 'October', 'Rachel', 'Golden', 'Globe', 'Best', 'Actress', 'Series', '–', 'Musical', 'Comedy', 'Critics', '’', 'Choice', 'Award', 'Best', 'Actress', 'Best', 'Angry', 'Birds', 'Bloom'], [], ['best', 'arguably', 'impulsively', 'also', 'recently'], ['later'], []]"
richard lewis,"[['lifelong', 'art', 'stand-up', '‘', 'jazzed', 'seventh', 'many', 'high', 'top', 'stand-up', '20th', 'Influential', '½', 'late', 'Exhausted', 'second', 'cable-special'], [], ['strongest', 'guest', 'closest', 'Most'], ['Richard', 'NY', 'Post', 'Richard', 'Lewis', 'Woody', 'Allen', 'Lewis', 'Curb', 'Your', 'Enthusiasm', 'Company', 'Stand-Up', 'Tour', 'Curb', 'Emmy', 'Best', 'Comedy', 'Series', 'SAG', 'Lewis', 'Larry', 'David', 'Emmy', 'Comedy', 'Central', 'Mr.', 'Lewis', 'GQ', 'Magazine', 'Century', 'Lewis', '’', 'Las', 'Vegas', 'Drunks', 'Men', '‘', 'Til', 'Death', 'Cleaner', 'Dead', 'Zone', 'Alias', 'Seventh', 'Heaven', 'Anything', 'Love', 'Saturday', 'Night', 'Live', 'Dave', 'Jay', 'Conan', 'Jon', 'Stern', 'Ferguson', 'Maher', 'Richard', '’', 'HBO', 'ACE', 'Best', 'Stand-Up', 'Comedy', 'Special', 'HBO', 'Ace', 'Pain', 'Showtime'], [], ['as', 'well', 'well', 'also', 'originally', 'also'], [], ['most']]"
ricky velez,"[['strong', 'captivating', 'young', 'upcoming', 'comic', '“', 's', '“'], [], [], ['Ricky', 'Velez', 'New', 'York', 'City', 'Velez', 'Comedy', 'Central', '’', 'Nightly', 'Show', 'Larry', 'Wilmore', 'FX', '’', 'Totally', 'Aziz', 'Ansari', '’', 'Netflix', 'Master', 'None', 'HBO', '’', 'Crashing', 'Ricky', 'New', 'York', '’', 'Funniest', 'Comedian', '”', 'Caroline', '’', 'Comedy', 'Club', 'Comic', 'Variety', 'Comedy', 'Central', 'New', 'York', 'Comedy', 'Festival'], [], ['critically'], [], ['most']]"
